Número;Data;Mandante;Visitantes;Gols Mandante;Gol Visitante;Gols Penalti Mandante;Gols Penalti Visitante;Resultado;Campeonato;Estádio;Gols Grêmio;Gols Inter;Campo
65;07/07/1940;Inter;Grêmio;2;5;;;Grêmio;Citadino Porto Alegre;Eucaliptos;5;2;Eucaliptos
66;29/10/1940;Grêmio;Inter;3;4;;;Inter;Citadino Porto Alegre;Timbaúva;3;4;Outros
67;18/05/1941;Grêmio;Inter;2;2;;;Empate;Amistoso;Timbaúva;2;2;Outros
68;25/05/1941;Grêmio;Inter;2;3;;;Inter;Amistoso;Timbaúva;2;3;Outros
69;17/08/1941;Inter;Grêmio;3;0;;;Inter;Citadino Porto Alegre;Eucaliptos;0;3;Eucaliptos
70;19/10/1941;Grêmio;Inter;2;1;;;Grêmio;Citadino Porto Alegre;Baixada;2;1;Baixada
71;11/01/1942;Grêmio;Inter;1;1;;;Empate;Citadino Porto Alegre;Timbaúva;1;1;Outros
72;19/04/1942;Grêmio;Inter;1;1;;;Empate;Citadino Porto Alegre;Timbaúva;1;1;Outros
73;12/07/1942;Grêmio;Inter;2;4;;;Inter;Citadino Porto Alegre;Baixada;2;4;Baixada
74;30/08/1942;Inter;Grêmio;4;2;;;Inter;Citadino Porto Alegre;Eucaliptos;2;4;Eucaliptos
75;28/02/1943;Grêmio;Inter;1;5;;;Inter;Amistoso;Baixada;1;5;Baixada
76;11/03/1943;Inter;Grêmio;5;1;;;Inter;Amistoso;Eucaliptos;1;5;Eucaliptos
77;06/06/1943;Grêmio;Inter;3;3;;;Empate;Citadino Porto Alegre;São José;3;3;Outros
78;11/07/1943;Inter;Grêmio;3;0;;;Inter;Citadino Porto Alegre;Eucaliptos;0;3;Eucaliptos
79;19/09/1943;Grêmio;Inter;0;1;;;Inter;Citadino Porto Alegre;Baixada;0;1;Baixada
80;13/02/1944;Inter;Grêmio;3;2;;;Inter;Amistoso;Eucaliptos;2;3;Eucaliptos
81;30/04/1944;Inter;Grêmio;4;2;;;Inter;Citadino Porto Alegre;Eucaliptos;2;4;Eucaliptos
82;28/05/1944;Grêmio;Inter;3;7;;;Inter;Amistoso;Baixada;3;7;Baixada
83;13/08/1944;Grêmio;Inter;4;3;;;Grêmio;Citadino Porto Alegre;Baixada;4;3;Baixada
84;08/10/1944;Grêmio;Inter;1;2;;;Inter;Citadino Porto Alegre;Timbaúva;1;2;Outros
85;09/02/1945;Grêmio;Inter;0;2;;;Inter;Amistoso;Montanha;0;2;Outros
86;23/02/1945;Grêmio;Inter;1;1;;;Empate;Amistoso;Montanha;1;1;Outros
87;08/04/1945;Inter;Grêmio;3;2;;;Inter;Citadino Porto Alegre;Eucaliptos;2;3;Eucaliptos
88;24/06/1945;Grêmio;Inter;1;4;;;Inter;Citadino Porto Alegre;Baixada;1;4;Baixada
89;30/09/1945;Inter;Grêmio;4;2;;;Inter;Citadino Porto Alegre;São José;2;4;Outros
90;05/05/1946;Grêmio;Inter;0;1;;;Inter;Amistoso;Timbaúva;0;1;Outros
91;23/06/1946;Grêmio;Inter;4;3;;;Grêmio;Amistoso;Timbaúva;4;3;Outros
92;14/07/1946;Grêmio;Inter;0;1;;;Inter;Citadino Porto Alegre;Baixada;0;1;Baixada
93;15/09/1946;Inter;Grêmio;1;2;;;Grêmio;Citadino Porto Alegre;Eucaliptos;2;1;Eucaliptos
94;01/05/1947;Grêmio;Inter;0;4;;;Inter;Amistoso;Timbaúva;0;4;Outros
95;20/07/1947;Inter;Grêmio;3;0;;;Inter;Citadino Porto Alegre;Eucaliptos;0;3;Eucaliptos
96;10/08/1947;Grêmio;Inter;1;2;;;Inter;Amistoso;Timbaúva;1;2;Outros
97;05/10/1947;Grêmio;Inter;1;2;;;Inter;Citadino Porto Alegre;Baixada;1;2;Baixada
98;26/10/1947;Grêmio;Inter;0;3;;;Inter;Amistoso;Timbaúva;0;3;Outros
99;23/11/1947;Grêmio;Inter;2;2;;;Empate;Citadino Porto Alegre;Timbaúva;2;2;Outros
